Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603",98.500000,-59.750000,90.000000,top
"C2","100nF","C_0603",107.500000,-59.750000,90.000000,top
"C3","100nF","C_0603",116.500000,-59.750000,90.000000,top
"C4","100nF","C_0603",125.500000,-59.750000,90.000000,top
"C5","100nF","C_0603",134.500000,-59.750000,90.000000,top
"C6","100nF","C_0603",143.500000,-59.750000,90.000000,top
"C7","100nF","C_0603",152.500000,-59.750000,90.000000,top
"C8","100nF","C_0603",161.500000,-59.750000,90.000000,top
"C9","100nF","C_0603",170.500000,-59.750000,90.000000,top
"U1","WS2812B","WS2812B_Ver2",94.000000,-55.000000,90.000000,top
"U2","WS2812B","WS2812B_Ver2",94.000000,-65.000000,90.000000,top
"U3","WS2812B","WS2812B_Ver2",103.000000,-55.000000,90.000000,top
"U4","WS2812B","WS2812B_Ver2",103.000000,-65.000000,90.000000,top
"U5","WS2812B","WS2812B_Ver2",112.000000,-55.000000,90.000000,top
"U6","WS2812B","WS2812B_Ver2",112.000000,-65.000000,90.000000,top
"U7","WS2812B","WS2812B_Ver2",121.000000,-55.000000,90.000000,top
"U8","WS2812B","WS2812B_Ver2",121.000000,-65.000000,90.000000,top
"U9","WS2812B","WS2812B_Ver2",130.000000,-55.000000,90.000000,top
"U10","WS2812B","WS2812B_Ver2",130.000000,-65.000000,90.000000,top
"U11","WS2812B","WS2812B_Ver2",139.000000,-55.000000,90.000000,top
"U12","WS2812B","WS2812B_Ver2",139.000000,-65.000000,90.000000,top
"U13","WS2812B","WS2812B_Ver2",148.000000,-55.000000,90.000000,top
"U14","WS2812B","WS2812B_Ver2",148.000000,-65.000000,90.000000,top
"U15","WS2812B","WS2812B_Ver2",157.000000,-55.000000,90.000000,top
"U16","WS2812B","WS2812B_Ver2",157.000000,-65.000000,90.000000,top
"U17","WS2812B","WS2812B_Ver2",166.000000,-55.000000,90.000000,top
"U18","WS2812B","WS2812B_Ver2",166.000000,-65.000000,90.000000,top
"U19","WS2812B","WS2812B_Ver2",175.000000,-55.000000,90.000000,top
"U20","WS2812B","WS2812B_Ver2",175.000000,-65.000000,90.000000,top
